id,createTime,endTime,state,type

91341577,2026-08-09 14:04:10.234000,2026-08-09 14:05:36.530000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91291048,2026-08-09 10:20:08.395000,2026-08-09 10:21:14.922000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91285680,2026-08-09 09:56:08.077000,2026-08-09 09:57:04.577000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91282284,2026-08-09 09:40:08.431000,2026-08-09 09:41:11.398000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91274374,2026-08-09 09:04:11.426000,2026-08-09 09:05:15.695000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91247671,2026-08-09 07:04:12.237000,2026-08-09 07:05:40.274000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91239720,2026-08-09 06:28:08.098000,2026-08-09 06:29:26.321000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91237006,2026-08-09 06:16:08.125000,2026-08-09 06:17:24.264000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91236115,2026-08-09 06:12:09.908000,2026-08-09 06:13:29.604000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91235228,2026-08-09 06:08:09.110000,2026-08-09 06:09:34.913000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91234339,2026-08-09 06:04:08.158000,2026-08-09 06:05:25.597000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91233447,2026-08-09 06:00:08.090000,2026-08-09 06:01:21.002000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91232565,2026-08-09 05:56:10.913000,2026-08-09 05:57:33.949000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91231678,2026-08-09 05:52:10.807000,2026-08-09 05:53:30.042000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91230774,2026-08-09 05:48:07.794000,2026-08-09 05:49:22.828000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91229878,2026-08-09 05:44:07.699000,2026-08-09 05:45:28.008000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91228998,2026-08-09 05:40:08.110000,2026-08-09 05:41:19.766000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91228095,2026-08-09 05:36:08.149000,2026-08-09 05:37:33.927000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91227197,2026-08-09 05:32:08.898000,2026-08-09 05:33:25.998000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91226206,2026-08-09 05:28:07.836000,2026-08-09 05:29:17.793000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91225404,2026-08-09 05:24:07.592000,2026-08-09 05:25:47.348000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91224527,2026-08-09 05:20:07.914000,2026-08-09 05:21:26.174000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91223600,2026-08-09 05:16:07.696000,2026-08-09 05:17:09.846000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91222700,2026-08-09 05:12:09.458000,2026-08-09 05:13:30.076000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91221808,2026-08-09 05:08:07.931000,2026-08-09 05:09:24.153000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91220841,2026-08-09 05:04:07.812000,2026-08-09 05:05:19.690000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91220906,2026-08-09 05:04:07.880000,2026-08-09 05:05:12.146000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91220013,2026-08-09 05:00:07.844000,2026-08-09 05:01:12.217000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91219135,2026-08-09 04:56:07.550000,2026-08-09 04:57:23.760000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91218235,2026-08-09 04:52:10.590000,2026-08-09 04:53:27.623000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91217346,2026-08-09 04:48:09.368000,2026-08-09 04:49:30.275000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91216424,2026-08-09 04:44:08.727000,2026-08-09 04:45:28.675000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91215544,2026-08-09 04:40:08.373000,2026-08-09 04:41:41.130000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91214660,2026-08-09 04:36:08.659000,2026-08-09 04:37:25.143000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91214121,2026-08-09 04:33:51.767000,2026-08-09 04:35:07.741000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_VALIDATION


Use "kaggle competitions replay <episode_id>" to download a replay, or "kaggle competitions logs <episode_id> <agent_index>" for agent logs.
