id,createTime,endTime,state,type

91212152,2026-08-09 04:24:08.698000,2026-08-09 04:25:36.331000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91210527,2026-08-09 04:16:11.055000,2026-08-09 04:17:31.342000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91202511,2026-08-09 03:40:08.816000,2026-08-09 03:41:27.433000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91201611,2026-08-09 03:36:08.073000,2026-08-09 03:37:10.699000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91200729,2026-08-09 03:32:10.831000,2026-08-09 03:33:27.322000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91199835,2026-08-09 03:28:08.585000,2026-08-09 03:29:40.053000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91198941,2026-08-09 03:24:07.901000,2026-08-09 03:25:15.931000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91197873,2026-08-09 03:20:07.960000,2026-08-09 03:21:13.934000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91198040,2026-08-09 03:20:08.232000,2026-08-09 03:21:13.876000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91197131,2026-08-09 03:16:08.122000,2026-08-09 03:17:34.880000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91196258,2026-08-09 03:12:10.628000,2026-08-09 03:13:12.751000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91195360,2026-08-09 03:08:08.017000,2026-08-09 03:09:32.679000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91194478,2026-08-09 03:04:08.081000,2026-08-09 03:05:31.892000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91193596,2026-08-09 03:00:08.018000,2026-08-09 03:01:24.556000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91192702,2026-08-09 02:56:23.290000,2026-08-09 02:57:32.916000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91191821,2026-08-09 02:52:10.897000,2026-08-09 02:53:24.050000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91190925,2026-08-09 02:48:08.009000,2026-08-09 02:49:33.961000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91190026,2026-08-09 02:44:07.920000,2026-08-09 02:45:09.864000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91189150,2026-08-09 02:40:09.598000,2026-08-09 02:41:29.194000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91188267,2026-08-09 02:36:10.348000,2026-08-09 02:37:34.020000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91187392,2026-08-09 02:32:10.182000,2026-08-09 02:33:14.647000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91186507,2026-08-09 02:28:08.698000,2026-08-09 02:29:29.837000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91185607,2026-08-09 02:24:08.388000,2026-08-09 02:25:11.091000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91184715,2026-08-09 02:20:08.638000,2026-08-09 02:21:09.605000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91183833,2026-08-09 02:16:08.212000,2026-08-09 02:17:31.463000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91182940,2026-08-09 02:12:10.281000,2026-08-09 02:13:35.520000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91182066,2026-08-09 02:08:08.019000,2026-08-09 02:09:35.046000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91181165,2026-08-09 02:04:07.812000,2026-08-09 02:05:36.973000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91180291,2026-08-09 02:00:07.971000,2026-08-09 02:01:14.303000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_PUBLIC

91179756,2026-08-09 01:56:56.376000,2026-08-09 01:58:22.677000,EpisodeState.COMPLETED,EpisodeType.EPISODE_TYPE_VALIDATION


Use "kaggle competitions replay <episode_id>" to download a replay, or "kaggle competitions logs <episode_id> <agent_index>" for agent logs.
