episode,team_a,score_a,team_b,score_b
94735084,Michael Timbs,103305,lucaskna,106327
94735093,Izzoudine Mohamed KANTA,101526,DeeperNet,94887
94735231,Kaito Fukami,115922,One-For-All,115202
94736797,Laplacenvmv,63658,lucaskna,67126
94736801,Izzoudine Mohamed KANTA,95960,Utkarsh #2,84961
94738489,StackKnight,60420,lucaskna,60730
94738602,Subramanya N,76064,Xiaowenhao404,67637
94738604,boatlee,65254,RicardoLópez,67527
94738605,Khalid,72693,Kostiantyn Isaienkov,62886
94738610,Patrick Chan,105534,Kostiantyn Isaienkov,104684
94738621,katya barzova,105642,Syed Muhammad Gillani,105719
94740635,James Holland,47606,Kostiantyn Isaienkov,51375
94740636,Eddy Despradel,80821,Bruce,80366
94742734,Bruce,111921,Vishal Khomane,110914
94742744,NCK,117847,Kostiantyn Isaienkov,118566
94742824,ReCurSiON,79886,Xiaowenhao404,82390
94742825,Xiaowenhao404,79662,Izzoudine Mohamed KANTA,83104
94742826,カワシギ,53801,Ryo Hasegawa,63931
94742828,Crop Dusta,72702,Arman Tuganbaev,56202
94742829,tetsuya,112195,Ryo Hasegawa,113902
94742830,tetsuya,53849,Arman Tuganbaev,48508
94744820,Thomas Tschinkel,49893,James Holland,46245
94744902,boatlee,70604,JungHwan,70990
94746986,ReCurSiON,121483,Dmitry Larko,113332
94749169,Thomas Tschinkel,85502,Dmitry Larko,86892
94749227,StackKnight,79204,ReCurSiON,74506
94751463,Efe Can Celiksoy,85211,ych~sun,104169
94751564,ych~sun,123697,Bruce,124091
94753749,HKmgikao,92990,James Holland,87025
94753813,JungHwan,93296,Izzoudine Mohamed KANTA,80695
94753817,hetspookjee,56698,lucaskna,57164
94756003,Kostiantyn Isaienkov,87924,Michael Timbs,84310
94756006,DeeperNet,31084,Bruce,31250
94756081,One-For-All,87998,Victor @ Tufa Labs,78587
94756083,Kaito Fukami,90526,Akhil Chinta,95142
94760664,Kostiantyn Isaienkov,92198,RicardoLópez,82695
94760666,Izzoudine Mohamed KANTA,89467,Subramanya N,99623
94760668,SCLim2022080004,93568,Kostiantyn Isaienkov,92984
94760678,katya barzova,86510,ReCurSiON,86261
94760679,Syed Muhammad Gillani,87913,ReCurSiON,79215
94762928,NCK,35695,James Holland,38294
94762930,Eddy Despradel,40713,One-For-All,38798
94767486,Xiaowenhao404,64163,Eddy Despradel,62231
94767489,Crop Dusta,60793,Izzoudine Mohamed KANTA,53778
94767490,ReCurSiON,105760,カワシギ,103998
94767491,Xiaowenhao404,107947,Crop Dusta,109704
94767492,tetsuya,89444,Ryo Hasegawa,88031
94767493,Arman Tuganbaev,64780,tetsuya,61414
94767494,Arman Tuganbaev,95176,tetsuya,99220
94769758,HKmgikao,47682,boatlee,47682
94774326,Bruce,70592,Thomas Tschinkel,75715
94774327,Dmitry Larko,122262,Thomas Tschinkel,122613
94774340,boatlee,71291,ReCurSiON,75406
94774341,RicardoLópez,139382,StackKnight,139736
94776634,Izzoudine Mohamed KANTA,77067,Efe Can Celiksoy,77328
94778908,boatlee,131539,James Holland,126403
94781098,DeeperNet,70627,JungHwan,70054
94781104,hetspookjee,58518,Izzoudine Mohamed KANTA,66255
94781106,Victor @ Tufa Labs,86689,lucaskna,87617
94781194,DeeperNet,74033,HKmgikao,73203
