episode,team_a,score_a,team_b,score_b
106611436,ymg_aq,81819,THUNDER THUNDER,76416
106611441,SpaTaro,80070,ymg_aq,86419
106611442,自己找差距,91883,ymg_aq,100233
106612565,Mengfei Li,82506,Atakan Aldemir,84316
106613414,Mengfei Li,107026,3정훈,101984
106613451,JustinLee,131310,get some fries,136557
106614448,Atakan Aldemir,67198,carbonapi,64648
106615171,SpaTaro,113221,ymg_aq,114214
106615173,SpaTaro,99017,kwa,95278
106615174,ymg_aq,109593,自己找差距,106717
106615179,3정훈,99208,自己找差距,96538
106617049,get some fries,102010,JustinLee,109303
106617121,Mengfei Li,124653,Giulio Ravasio,107196
106618117,get some fries,86417,Atakan Aldemir,87164
106618904,ymg_aq,83748,3정훈,79601
106618907,ymg_aq,137578,Atakan Aldemir,134052
106618911,ymg_aq,95981,3정훈,90987
106618912,自己找差距,79937,ymg_aq,78289
106620841,Mengfei Li,113937,get some fries,106552
106622718,Atakan Aldemir,109001,自己找差距,106741
106622722,3정훈,83988,SpaTaro,70787
106622723,ymg_aq,122082,自己找差距,131766
106622726,自己找差距,105696,3정훈,108047
106622730,ymg_aq,81113,Mengfei Li,78753
106622866,Mengfei Li,84748,ymg_aq,84563
106626404,mandgeee,107344,SpaTaro,123937
106626457,3정훈,102374,Suliman Tadros,88713
106626458,get some fries,99946,自己找差距,106212
106626463,Atakan Aldemir,76017,carbonapi,71649
106626466,SpaTaro,87455,My second life,97797
106626472,Mengfei Li,103961,自己找差距,103206
106629094,Suliman Tadros,111460,自己找差距,117670
106630081,SpaTaro,103868,mandgeee,104574
106630211,Suliman Tadros,105202,3정훈,102093
106630212,SpaTaro,93434,THUNDER THUNDER,98098
106630219,Atakan Aldemir,76460,Mengfei Li,82330
106630226,Mengfei Li,103685,Atakan Aldemir,96969
106630227,SpaTaro,107939,JustinLee,103716
106632806,自己找差距,86191,Tarang222,71876
106633904,3정훈,177054,My second life,158871
106633908,SpaTaro,81088,try,93686
106633916,Atakan Aldemir,104519,SpaTaro,102136
106633918,Mengfei Li,95586,THUNDER THUNDER,94318
106633919,SpaTaro,103456,Mengfei Li,126305
106636625,自己找差距,136945,try,120138
106637656,自己找差距,103561,JustinLee,103031
106637662,kwa,76653,3정훈,75065
106637667,Atakan Aldemir,119914,Mengfei Li,123582
106637671,SpaTaro,105807,try,102094
106637674,Mengfei Li,111096,Atakan Aldemir,111381
106637717,3정훈,99024,THUNDER THUNDER,99064
106641485,Suliman Tadros,84238,自己找差距,86975
106642126,3정훈,93236,Mengfei Li,94407
106642128,Atakan Aldemir,107587,自己找差距,104435
106642156,3정훈,109598,JustinLee,107585
106646041,3정훈,87684,Atakan Aldemir,91468
106646042,Atakan Aldemir,146089,自己找差距,158179
106646043,Atakan Aldemir,64987,Mengfei Li,69967
106646070,3정훈,84249,carbonapi,74191
106650566,Mengfei Li,80010,3정훈,80543
106650587,3정훈,132375,Suliman Tadros,125946
106650617,SpaTaro,106283,Atakan Aldemir,94845
106650624,自己找差距,97887,Atakan Aldemir,101021
106655032,3정훈,145181,Matthew Huang,139821
106655330,Mengfei Li,69424,Atakan Aldemir,63135
106655344,Suliman Tadros,88582,JustinLee,89264
106655345,3정훈,134432,Suliman Tadros,126208
106655348,JustinLee,66936,Suliman Tadros,69326
106655374,自己找差距,103316,Mengfei Li,109012
106655375,mandgeee,84815,Atakan Aldemir,86096
106660107,Atakan Aldemir,96484,SpaTaro,91577
106660109,Mengfei Li,86812,Suliman Tadros,103310
106660111,自己找差距,74584,Atakan Aldemir,73178
106660121,Mengfei Li,81063,Atakan Aldemir,78172
106660666,Matthew Huang,93914,Atakan Aldemir,96409
106661619,Matthew Huang,80410,Atakan Aldemir,76704
106665365,carbonapi,96862,Matthew Huang,103340
106665596,Syed Asad Ali,62686,Atakan Aldemir,58703
106665603,kwa,126601,自己找差距,130275
106665607,Atakan Aldemir,124162,Mengfei Li,128465
106666181,Matthew Huang,102025,Suliman Tadros,89725
106666289,Matthew Huang,107167,try,100376
106668974,Matthew Huang,83820,Suliman Tadros,78271
106669094,Matthew Huang,113276,Atakan Aldemir,116072
106669920,Suliman Tadros,119961,Matthew Huang,112983
106670033,carbonapi,160654,Matthew Huang,160667
106670862,Suliman Tadros,152933,Matthew Huang,149528
106670974,Suliman Tadros,101840,Matthew Huang,93379
106671162,THUNDER THUNDER,84824,自己找差距,94135
106671170,Mengfei Li,94536,Matthew Huang,140096
106672756,carbonapi,100313,Matthew Huang,100991
106673689,SpaTaro,99084,Matthew Huang,97264
106673805,Tarang222,73280,Matthew Huang,75410
106673958,carbonapi,124404,Atakan Aldemir,125020
106674480,HowardLeeTW,101330,THUNDER THUNDER,84652
106674628,SpaTaro,89022,Matthew Huang,89899
106674739,kwa,75398,Matthew Huang,83431
106675430,Mengfei Li,66769,HowardLeeTW,72239
106675440,JustinLee,82322,HowardLeeTW,89500
106675678,THUNDER THUNDER,79495,Matthew Huang,85073
106676311,HowardLeeTW,124905,自己找差距,132863
106676452,Matthew Huang,121418,HowardLeeTW,119345
106676613,Matthew Huang,76624,SpaTaro,82349
106676703,自己找差距,97006,HowardLeeTW,89649
106677299,JustinLee,88360,HowardLeeTW,112612
106677440,mandgeee,99320,Matthew Huang,118165
106678242,HowardLeeTW,142717,JustinLee,118707
106678371,Matthew Huang,116850,Mengfei Li,93528
106678608,Suliman Tadros,73754,HowardLeeTW,87035
106678768,Matthew Huang,96519,Atakan Aldemir,92885
106679204,HowardLeeTW,117509,THUNDER THUNDER,98034
106679374,Mengfei Li,122162,Matthew Huang,136620
106680125,Suliman Tadros,109718,HowardLeeTW,143226
106680139,HowardLeeTW,103192,Suliman Tadros,94478
106680289,HowardLeeTW,96546,Matthew Huang,83036
106681063,Atakan Aldemir,126751,HowardLeeTW,142679
106681085,SpaTaro,115044,HowardLeeTW,117872
106681208,Giulio Ravasio,71952,Matthew Huang,69237
106681535,SpaTaro,88393,Matthew Huang,83862
106681543,Mengfei Li,106822,自己找差距,102554
106682017,HowardLeeTW,86812,Matthew Huang,84202
106682029,Suliman Tadros,96934,HowardLeeTW,119992
106682951,HowardLeeTW,97969,SpaTaro,91243
106682964,Atakan Aldemir,111219,HowardLeeTW,121713
106683879,Atakan Aldemir,142976,HowardLeeTW,157151
106683904,HowardLeeTW,85649,Atakan Aldemir,81733
106684825,SpaTaro,75051,HowardLeeTW,79439
106684848,HowardLeeTW,128574,Matthew Huang,115587
106684983,Matthew Huang,102784,Suliman Tadros,111184
106685778,Mengfei Li,81624,HowardLeeTW,85914
106685779,HowardLeeTW,124632,try,105842
106686705,Matthew Huang,140190,HowardLeeTW,147856
106686723,HowardLeeTW,126929,自己找差距,120239
106686874,JustinLee,100441,Matthew Huang,93081
106686999,自己找差距,94148,HowardLeeTW,98430
106687098,Suliman Tadros,74851,Matthew Huang,68987
106687633,HowardLeeTW,77218,Atakan Aldemir,67202
106687666,自己找差距,151071,HowardLeeTW,145990
106688599,HowardLeeTW,75216,自己找差距,67166
106688610,HowardLeeTW,77090,Mengfei Li,71789
106688839,JustinLee,59708,Matthew Huang,69540
106689512,HowardLeeTW,141371,Mengfei Li,129400
106689537,Mengfei Li,133652,HowardLeeTW,132200
106689757,carbonapi,101127,Atakan Aldemir,106540
106689881,Mengfei Li,116287,SpaTaro,115247
106690447,HowardLeeTW,88479,Mengfei Li,88591
106690490,HowardLeeTW,108028,Matthew Huang,106113
106691407,HowardLeeTW,87196,Mengfei Li,83727
106691429,HowardLeeTW,124001,Suliman Tadros,109996
106692347,自己找差距,77447,HowardLeeTW,90065
106692388,Mengfei Li,103590,HowardLeeTW,113286
106692598,Suliman Tadros,140764,HowardLeeTW,139996
106692599,carbonapi,61732,Matthew Huang,64622
106693298,HowardLeeTW,138102,Mengfei Li,131714
106693339,自己找差距,106996,HowardLeeTW,103916
106694244,HowardLeeTW,133004,Matthew Huang,125026
106694291,Matthew Huang,124468,HowardLeeTW,113906
106695183,HowardLeeTW,93761,自己找差距,81997
106695237,Suliman Tadros,88588,HowardLeeTW,129647
106695447,SpaTaro,72007,Atakan Aldemir,73275
106696131,HowardLeeTW,104236,自己找差距,98004
106696176,HowardLeeTW,142687,Matthew Huang,125362
106697050,Matthew Huang,77283,HowardLeeTW,79369
106697102,HowardLeeTW,86642,Atakan Aldemir,83106
106697789,HowardLeeTW,138648,Mengfei Li,126476
106698146,Mengfei Li,97975,HowardLeeTW,106628
106698938,Mengfei Li,101665,HowardLeeTW,108263
106698983,Atakan Aldemir,75282,HowardLeeTW,85644
106700598,Bohann Wang,81867,SpaTaro,85421
106701172,自己找差距,93440,SpaTaro,84570
106701182,Matthew Huang,94848,JustinLee,94099
106701548,SpaTaro,78710,THUNDER THUNDER,77386
106702103,Matthew Huang,98156,JustinLee,93050
106702491,Atakan Aldemir,71821,SpaTaro,76908
106703580,Mengfei Li,88945,carbonapi,85092
106703694,SpaTaro,85076,Suliman Tadros,85047
106704372,JustinLee,114005,SpaTaro,113839
106705310,Matthew Huang,137835,SpaTaro,109722
106706170,Matthew Huang,116110,SpaTaro,121285
106706323,Atakan Aldemir,83622,自己找差距,81689
106706659,SpaTaro,76260,Giulio Ravasio,75216
106707205,Atakan Aldemir,109379,SpaTaro,95123
106708153,SpaTaro,94428,Matthew Huang,80747
106708602,JustinLee,76140,Mengfei Li,78195
106709314,SpaTaro,108873,Matthew Huang,105445
106710047,SpaTaro,116810,Mengfei Li,110910
106710992,SpaTaro,141291,JustinLee,133402
106711358,SpaTaro,89119,Mengfei Li,84786
106711366,SpaTaro,83239,自己找差距,81623
106711940,Atakan Aldemir,113611,SpaTaro,128719
106712296,Atakan Aldemir,127854,THUNDER THUNDER,109508
106712874,SpaTaro,88615,carbonapi,87225
106713260,Matthew Huang,105249,Suliman Tadros,101136
106713873,SpaTaro,81901,Suliman Tadros,99937
106713933,Suliman Tadros,118710,Atakan Aldemir,124170
106714778,SpaTaro,100316,kwa,89887
106715564,Matthew Huang,63255,SpaTaro,66635
106715932,SpaTaro,101691,自己找差距,103938
106716681,SpaTaro,95383,Mengfei Li,95461
106717619,SpaTaro,126998,Atakan Aldemir,113842
106718035,SpaTaro,68467,自己找差距,66138
106718403,Suliman Tadros,73607,binghua,90291
106718552,SpaTaro,105086,Atakan Aldemir,123411
106718918,Suliman Tadros,85043,JustinLee,84952
106719483,kaggricodex,135797,Mengfei Li,103150
106719489,kwa,91030,SpaTaro,94884
106719712,Suliman Tadros,122598,Matthew Huang,120505
106720441,自己找差距,80017,SpaTaro,81795
106721382,SpaTaro,95764,Mengfei Li,91180
106721567,AI是我的豆包,78617,Matthew Huang,82270
106722185,Matthew Huang,138978,binghua,135346
106722334,SpaTaro,144597,let cats farm,124378
106722623,THUNDER THUNDER,98600,自己找差距,97088
106723279,SpaTaro,83523,Matthew Huang,105459
106723494,Matthew Huang,80295,自己找差距,83884
106723596,Atakan Aldemir,102543,kwa,96446
106724220,kwa,122240,SpaTaro,131696
106725167,SpaTaro,103572,自己找差距,103892
106725957,binghua,123155,Matthew Huang,121673
106726103,kaggricodex,104010,Matthew Huang,103098
106726117,kaggricodex,73201,SpaTaro,68843
106726378,Matthew Huang,113484,carbonapi,112616
106727046,kwa,77223,SpaTaro,85060
106727986,SpaTaro,73834,Atakan Aldemir,71572
106728136,自己找差距,94677,Suliman Tadros,91659
106728931,SpaTaro,93437,Mengfei Li,78779
106728941,let cats farm,69482,kaggricodex,64831
106729716,Matthew Huang,119410,binghua,125981
106729881,Atakan Aldemir,100524,SpaTaro,102484
106730200,Ad Space Available,107879,binghua,100077
106730667,binghua,98365,Atakan Aldemir,99116
106730815,SpaTaro,77310,Mengfei Li,95535
106731625,Suliman Tadros,135392,binghua,155818
106731757,SpaTaro,81504,Mengfei Li,84633
106731835,let cats farm,97913,kaggricodex,95533
106731869,carbonapi,109746,Matthew Huang,108434
106732776,kaggricodex,80531,binghua,85135
106732883,SpaTaro,74321,自己找差距,65815
106733021,自己找差距,91256,Matthew Huang,99312
106733524,binghua,102891,SpaTaro,107715
106733927,THUNDER THUNDER,134096,Ad Space Available,153629
106733942,SpaTaro,65513,Suliman Tadros,68017
106734535,binghua,79634,JustinLee,82035
106735726,Atakan Aldemir,63224,Ad Space Available,70617
106736638,Matthew Huang,119761,自己找差距,120707
106736668,Suliman Tadros,108379,Atakan Aldemir,110161
106736685,SpaTaro,74837,Mengfei Li,71921
106737102,Tarang222,99297,自己找差距,112634
106738185,kaggricodex,61025,Tarang222,62805
106738281,binghua,109183,THUNDER THUNDER,99644
106738450,SpaTaro,78641,Matthew Huang,83360
106739055,Tarang222,125184,Ad Space Available,123486
106739133,Matthew Huang,102617,binghua,101532
106739315,THUNDER THUNDER,100766,SpaTaro,104218
106739991,Tarang222,61445,THUNDER THUNDER,56962
106740106,Matthew Huang,100436,binghua,94421
106740942,Matthew Huang,89457,Tarang222,86358
106741982,binghua,87081,JustinLee,79531
106742145,THUNDER THUNDER,77426,Suliman Tadros,76194
106742146,Ad Space Available,92806,Atakan Aldemir,97762
106742156,let cats farm,70779,Mengfei Li,77494
106742159,SpaTaro,85625,Matthew Huang,83602
106742278,自己找差距,105092,Matthew Huang,99876
106743265,自己找差距,96976,SpaTaro,93354
106743873,binghua,128740,自己找差距,135746
106746707,Suliman Tadros,111535,binghua,119141
106746962,Atakan Aldemir,90662,Matthew Huang,99119
106746971,THUNDER THUNDER,104689,Mengfei Li,106384
106746972,自己找差距,79650,let cats farm,77161
106746973,Matthew Huang,76428,binghua,79735
106746974,SpaTaro,98025,binghua,95723
106747523,THUNDER THUNDER,102934,Tarang222,102533
106747639,Suliman Tadros,132740,binghua,137806
106747844,THUNDER THUNDER,62129,binghua,74384
106747959,Suliman Tadros,69922,kaggricodex,105475
106748470,Matthew Huang,114422,Tarang222,112639
106751657,Matthew Huang,108542,Atakan Aldemir,103343
106751663,Mengfei Li,114971,Giulio Ravasio,105787
106751665,SpaTaro,120285,自己找差距,114492
106751666,THUNDER THUNDER,83579,Matthew Huang,88163
106751667,Ad Space Available,91127,SpaTaro,85409
106752556,binghua,78955,THUNDER THUNDER,70806
106753404,Matthew Huang,75445,Atakan Aldemir,76182
106753565,SpaTaro,97063,kaggricodex,103190
106755010,binghua,85841,Mengfei Li,84421
106755949,binghua,119150,SpaTaro,121616
106756341,JustinLee,82766,binghua,85173
106756358,自己找差距,104115,binghua,107458
106756360,Matthew Huang,96034,SpaTaro,102856
106756367,Matthew Huang,118942,SpaTaro,122481
106758226,Tarang222,90581,kaggricodex,87628
106758792,SpaTaro,85417,binghua,80922
106759740,binghua,121626,kaggricodex,98002
106759944,SpaTaro,93150,Mengfei Li,105854
106760703,Tarang222,135800,binghua,154624
106761064,binghua,76481,Mengfei Li,72717
106761080,SpaTaro,104930,Ad Space Available,95556
106761085,SpaTaro,116387,Matthew Huang,121890
106762606,binghua,120719,Atakan Aldemir,125034
106762919,Atakan Aldemir,91982,自己找差距,96989
106763790,Suliman Tadros,99476,SpaTaro,95208
106764497,binghua,87879,JustinLee,79526
106765668,kaggricodex,89662,Tarang222,84540
106766494,binghua,86045,SpaTaro,99335
106766498,Mengfei Li,68399,自己找差距,67288
106766507,SpaTaro,165239,Matthew Huang,161250
106766510,binghua,114416,SpaTaro,119703
106767666,JustinLee,108917,Atakan Aldemir,115386
106770437,自己找差距,61585,kaggricodex,54844
106771299,Tarang222,88165,Mengfei Li,88696
106771305,SpaTaro,87667,Ad Space Available,81470
106771306,binghua,104492,let cats farm,91729
106771308,Atakan Aldemir,63848,SpaTaro,71805
106775132,SpaTaro,121400,自己找差距,119260
106775981,carbonapi,103713,binghua,115074
106775983,kaggricodex,75159,binghua,82631
106775997,Mengfei Li,68210,Tarang222,57774
106776002,let cats farm,116683,binghua,114938
106776003,Matthew Huang,86969,Ad Space Available,93268
106776005,binghua,103505,自己找差距,101534
106776006,binghua,104665,SpaTaro,106323
106776007,Atakan Aldemir,96539,let cats farm,90881
106779875,SpaTaro,92706,Atakan Aldemir,97783
106780780,Ad Space Available,127339,Mengfei Li,125424
106780786,binghua,85879,Tarang222,85621
106780788,自己找差距,115836,binghua,104331
106780789,Matthew Huang,129667,binghua,132166
106780791,Atakan Aldemir,114400,SpaTaro,114081
106783226,BorisV,73678,binghua,82641
106785367,Suliman Tadros,84534,SpaTaro,87439
106786302,Mengfei Li,107990,binghua,111447
106786303,Suliman Tadros,94555,Ad Space Available,100652
106786305,自己找差距,57284,binghua,67139
106786306,binghua,133192,自己找差距,132529
106786308,Atakan Aldemir,111844,Mengfei Li,115818
106786309,SpaTaro,93287,binghua,91466
106790937,SpaTaro,107668,binghua,107318
106791063,Ad Space Available,144295,Suliman Tadros,116170
106791069,自己找差距,62570,Tarang222,58031
106791701,自己找差距,103393,SpaTaro,93934
106791922,Mengfei Li,103955,binghua,109316
106791924,自己找差距,93795,Mengfei Li,92340
106791925,Atakan Aldemir,115086,Mengfei Li,128248
106791926,Tarang222,66344,SpaTaro,68844
106795875,binghua,86148,kaggricodex,84998
106796466,自己找差距,89726,Ad Space Available,93810
106796639,Ad Space Available,112750,kwa,94965
106796799,THUNDER THUNDER,92250,SpaTaro,91752
106796822,SpaTaro,113431,binghua,89146
106796826,Atakan Aldemir,98037,Matthew Huang,99843
106796827,kwa,71181,自己找差距,79712
106796828,Mengfei Li,115280,自己找差距,117115
106796832,SpaTaro,121228,binghua,115722
106802500,Mengfei Li,106577,SpaTaro,96898
106802502,binghua,76069,自己找差距,69469
106802507,Ad Space Available,82697,Mengfei Li,86278
106802511,SpaTaro,59122,Tarang222,74537
106803087,Ad Space Available,107361,Matthew Huang,106341
106805803,binghua,107332,AI是我的豆包,109732
106806741,AI是我的豆包,121615,JustinLee,105134
106807197,JustinLee,82844,Ad Space Available,87071
106807711,Matthew Huang,118923,AI是我的豆包,116562
106808649,SpaTaro,87895,AI是我的豆包,95353
106808940,THUNDER THUNDER,64235,自己找差距,70488
106808948,Otter Vibe,102917,Matthew Huang,98566
106808949,Mengfei Li,94931,自己找差距,105218
106808952,Mengfei Li,130619,SpaTaro,117941
106809600,Matthew Huang,118945,AI是我的豆包,116732
106810562,AI是我的豆包,148252,Otter Vibe,158451
106810563,自己找差距,88790,Otter Vibe,91841
106811514,Tarang222,80063,Otter Vibe,89959
106811951,kwa,88927,binghua,99116
106812395,Otter Vibe,106904,Tarang222,97139
106812561,kwa,68938,Matthew Huang,69254
106813435,Ad Space Available,66301,AI是我的豆包,62421
106813442,JustinLee,101427,Otter Vibe,107976
106813782,Ad Space Available,123455,Otter Vibe,123464
106814392,AI是我的豆包,61990,Otter Vibe,83996
106814394,Otter Vibe,93772,binghua,86897
106814544,Matthew Huang,109277,THUNDER THUNDER,104692
106815363,Otter Vibe,108581,自己找差距,108515
106815629,自己找差距,65772,SpaTaro,69575
106815630,自己找差距,142729,THUNDER THUNDER,137897
106815633,binghua,82762,SpaTaro,85193
106815663,Mengfei Li,77392,Matthew Huang,109238
106816305,AI是我的豆包,60203,binghua,70554
106816322,SpaTaro,107142,Otter Vibe,107388
106816457,Matthew Huang,129881,自己找差距,121090
106817257,AI是我的豆包,81146,binghua,86200
106817281,Otter Vibe,142805,SpaTaro,142496
106817419,Suliman Tadros,92205,Matthew Huang,114291
